country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
Nepal,Central,0,2746667,2746667,2746667,49545,508,479,738,789,750,1220,798,1317,2998,1101,460,1722,309,372,795,813,1426,1099,1141,1413,1624,1089,1125
Nepal,Central,10,2746667,1253579,1262426,49545,470,427,654,647,601,1083,644,1144,2445,858,407,1416,196,252,511,565,1090,748,807,872,1083,703,583
Nepal,Central,15,2746667,1217678,1204804,49545,463,414,636,628,583,1060,624,1126,2400,827,399,1378,189,243,468,531,1061,721,778,833,1045,676,556
Nepal,Central,20,2746667,1206665,1195016,49545,457,407,624,611,558,1039,603,1095,2300,806,394,1347,186,239,459,523,1047,712,770,821,1033,666,548
Nepal,Central,25,2746667,1192215,1163339,49545,451,401,614,599,552,1028,593,1085,2283,794,389,1332,183,235,451,515,1035,699,759,804,1017,656,537
Nepal,Central,30,2746667,1160590,1127044,49545,448,397,610,594,548,1021,586,1078,2272,785,385,1317,173,223,430,490,1010,670,730,757,970,624,505
Nepal,Central,50,2746667,987704,809974,49545,388,322,490,440,384,752,385,781,1714,531,310,1046,142,185,382,417,875,563,625,624,826,524,415
Nepal,Central,75,2746667,448752,331903,49545,261,182,325,221,194,376,164,306,866,223,173,603,67,89,207,215,425,204,290,250,308,212,150
Nepal,East,0,2848465,2848465,2848465,38201,186,189,89,1082,404,302,778,631,1127,641,308,876,291,330,196,707,651,697,1157,1366,1475,1370,1440
Nepal,East,10,2848465,960662,1007687,38201,164,141,65,749,308,224,568,398,885,445,227,649,129,166,79,298,342,291,501,518,627,642,633
Nepal,East,15,2848465,914790,933586,38201,161,138,63,717,298,216,548,378,858,426,220,628,115,148,65,257,316,263,454,464,562,586,583
Nepal,East,20,2848465,904278,922759,38201,159,134,62,701,292,214,536,368,840,416,217,617,112,144,64,253,311,259,447,457,554,579,575
Nepal,East,25,2848465,888000,883943,38201,155,130,60,684,289,212,526,361,827,407,214,608,107,140,61,245,305,250,433,441,538,566,564
Nepal,East,30,2848465,854341,846134,38201,154,128,59,676,286,208,520,357,820,401,212,598,99,133,56,227,283,228,407,412,507,541,535
Nepal,East,50,2848465,627951,509918,38201,117,88,37,431,228,155,374,244,652,288,165,467,65,94,40,172,214,159,300,297,383,419,402
Nepal,East,75,2848465,210830,168202,38201,58,44,11,147,132,86,192,94,460,134,84,266,23,26,6,52,68,42,78,72,125,130,126
Nepal,Far-Western,0,1974934,1974934,1974934,24558,336,1036,833,422,317,977,739,606,959,661,154,1261,124,159,36,86,173,305,214,299,464,431,489
Nepal,Far-Western,10,1974934,945937,892406,24558,321,993,808,397,294,947,705,580,924,600,144,1217,79,137,26,60,135,230,180,246,370,336,334
Nepal,Far-Western,15,1974934,922129,864309,24558,318,986,797,390,291,941,697,575,916,591,143,1208,77,135,24,57,129,221,178,242,362,327,323
Nepal,Far-Western,20,1974934,915526,860018,24558,313,972,789,382,283,932,687,565,905,576,139,1200,76,133,24,57,128,220,177,241,360,324,320
Nepal,Far-Western,25,1974934,906290,825538,24558,310,964,784,377,280,921,677,561,899,568,138,1193,75,132,24,56,127,216,175,238,356,322,314
Nepal,Far-Western,30,1974934,890321,812795,24558,308,962,778,375,277,916,673,559,896,565,137,1190,72,130,22,54,122,210,172,233,344,315,306
Nepal,Far-Western,50,1974934,795128,683885,24558,256,844,652,310,219,798,564,481,804,464,121,1081,51,113,19,46,108,187,157,216,315,292,267
Nepal,Far-Western,75,1974934,517521,442251,24558,148,622,371,186,135,487,364,341,577,309,80,820,22,72,9,21,63,99,86,131,212,205,151
Nepal,Mid-Western,0,4249253,4249253,4249253,26094,361,556,526,691,834,665,1407,500,1154,404,1811,1442,227,760,34,191,1165,529,575,486,703,611,711
Nepal,Mid-Western,10,4249253,1427108,1313213,26094,340,512,493,645,786,625,1332,471,1104,377,1703,1330,165,562,29,143,915,379,426,323,429,391,407
Nepal,Mid-Western,15,4249253,1394289,1250204,26094,335,502,485,636,775,616,1316,464,1091,370,1679,1304,161,545,29,140,903,370,416,312,413,377,390
Nepal,Mid-Western,20,4249253,1381588,1241983,26094,332,499,481,632,765,610,1305,460,1082,365,1669,1292,159,535,29,140,902,369,414,308,411,376,385
Nepal,Mid-Western,25,4249253,1370728,1200228,26094,330,497,479,627,761,605,1297,458,1077,362,1657,1283,158,525,28,139,901,366,410,304,406,373,379
Nepal,Mid-Western,30,4249253,1339694,1169417,26094,328,494,476,624,759,602,1292,456,1074,360,1652,1274,154,505,28,137,878,360,402,291,391,362,364
Nepal,Mid-Western,50,4249253,1131241,877904,26094,288,434,394,532,641,509,1142,399,967,307,1453,1084,128,386,23,124,768,316,343,251,332,317,304
Nepal,Mid-Western,75,4249253,569680,393648,26094,200,326,240,347,437,299,838,291,781,221,1043,776,54,157,10,82,415,182,162,109,183,185,166
Nepal,West,0,2946930,2946930,2946930,35610,315,160,397,258,944,547,442,582,505,261,467,750,540,257,70,165,200,325,514,792,801,313,941
Nepal,West,10,2946930,1012670,962136,35610,298,153,378,222,902,520,406,552,474,243,442,680,379,191,49,103,117,223,397,589,591,202,632
Nepal,West,15,2946930,972139,920940,35610,295,151,374,217,896,515,400,549,469,239,437,674,367,184,46,97,111,216,387,569,570,194,611
Nepal,West,20,2946930,957962,912840,35610,293,150,372,214,893,512,397,546,465,238,435,671,359,182,45,96,108,214,385,563,564,192,599
Nepal,West,25,2946930,943813,864759,35610,286,148,369,211,890,509,395,543,463,237,432,668,353,179,45,94,106,211,382,557,558,189,589
Nepal,West,30,2946930,916095,846350,35610,285,148,369,210,888,508,394,542,462,236,430,665,337,172,44,91,101,204,376,540,540,181,567
Nepal,West,50,2946930,766161,665985,35610,265,136,340,179,836,445,356,511,415,218,396,632,286,146,38,72,78,175,340,476,474,153,480
Nepal,West,75,2946930,385137,371532,35610,222,105,268,114,680,323,267,421,312,167,321,515,131,65,14,28,35,86,174,280,268,70,238
